1,Chicken Biryani,21.5,195,16.2,4.6
2,Chicken Lasagne,44,610,42,28
3,English Breakfast,37,618,37,37
4,Chole Bhature,75,250,15,20
5,Masoor Dal,30,180,12,5
6,Bagels,53.52,275,10.5,1.6
7,Apple,13.81,52,0.26,0.17
8,Banana,22.84,89,1.09,0.33
9,Orange,15,62,1.2,0.2
10,Pear,27,103,0.6,0.2
11,Blueberries,21,84,1.1,0.5
12,Pineapple,22,82,0.9,0.2
13,Strawberry,12,49,1,0.5
14,White Bread,13,80,2,1
15,Whole Wheat Bread,12,70,4,1
16,Multigrain Bread,15,90,5,2
17,Sourdough Bread,14,90,3,1
18,Croissant,28,230,5,12
19,English Muffin,23,120,4,1
20,Fish and Chips,90,850,35,50
21,Shepherd's Pie,40,400,25,20
22,Bangers and Mash,60,700,30,45
23,Beef Wellington,35,600,30,40
24,Scotch Egg,25,350,15,20
25,Yorkshire Pudding,30,250,5,10
26,English Muffin,30,150,6,1
27,Quinoa,39,222,8,4
28,Brown Rice,45,215,5,2
29,Sweet Potato,27,103,2,0
30,Oatmeal,27,150,5,3
31,Almonds,6,161,6,14
32,Greek Yogurt,9,130,17,4
33,Spinach,1,7,1,0
34,Chicken Breast,0,165,31,4
35,Salmon,0,208,20,13
36,Tofu,2,76,8,4
37,Chia Seeds,12,138,5,9
38,Lentils,40,230,18,1
39,Avocado,9,240,3,22
40,Blueberries,14,57,1,0
41,Broccoli,7,50,4,0
42,Egg Whites,0,17,4,0
43,Whey Protein,3,120,24,1
44,Cottage Cheese,4,98,12,4
45,Kale,7,49,4,1
46,Flaxseeds,1,55,2,4
47,Chicken Breast,0,165,31,3.6
48,Chickpea,27,160,9,3
49,Pasta,76,351,12,0
50,Oatmeal,77,338,10,0
51,Shrimp,0.5,85,18,1
52,Salmon,0,206,23,12
53,Tuna,0,132,29,1.4
54,Sardines,0,208,24.6,11.5
55,Mackerel,0,262,18.6,18.7
56,Oysters,3.9,68,7,2.5
57,Clams,2.5,74,12.8,1
58,Scallops,2,88,16.6,0.8
59,Crab,0,84,17.8,0.9
60,Lobster,0.6,96,20.5,0.6
61,Octopus,3.4,164,29.5,2.1
62,Squid,3,92,15.6,1.2
63,Mussels,3.7,86,11.9,2.2
64,Haddock,0,90,19,0.8
65,Cod,0,82,17.8,0.7
66,Halibut,0,110,23,2
67,Tilapia,0,96,20,1.7
68,Catfish,0,128,17,6
69,Rainbow Trout,0,141,19.9,6.3
70,Flounder,0,91,18.8,1
71,Almonds,6,161,6,14
72,Brazil nuts,3,182,4,18
73,Cashews,9,155,5,12
74,Chestnuts,22,110,1,1
75,Hazelnuts,5,176,4,17
76,Peanuts,5,161,7,14
77,Pecans,4,193,3,20
78,Pine Nuts,3,188,4,19
79,Pistachios,8,156,6,12
80,Walnuts,4,182,4,18
81,Corn,18,107,3,3
82,Chicken Salad,10,250,20,12
83,Spaghetti Bolognese,60,450,25,15
84,Cheeseburger,31,303,17,14
85,Pepperoni Pizza,36,298,12,12
86,Fried Chicken,21,320,20,18
87,Chicken Nuggets,14,260,15,15
88,French Fries,48,365,4,17
89,Tacos,22,190,8,10
90,Burritos,47,550,22,25
91,Hot Dog,30,290,10,20
92,Onion Rings,29,280,3,15
93,Grilled Cheese,28,330,16,18
94,Club Sandwich,42,460,27,20
95,Egg Roll,20,190,7,8
96,Nachos,40,300,8,15
97,Chicken Caesar Salad,12,360,18,24
98,BLT Sandwich,32,410,17,22
99,Donut,26,280,4,14
100,Ice Cream Cone,35,270,4,14
101,Chicken Quesadilla,36,510,26,28
102,Mozzarella Sticks,20,340,16,18
103,Water,0,0,0,0
104,Black Coffee,0,2,0.3,0
105,Green Tea,0,2,0,0
106,Black Tea,0,2,0,0
107,Orange Juice,26,112,1.7,0.5
108,Apple Juice,28,117,0.2,0.3
109,Whole Milk,12,146,8,8
110,Skim Milk,12,83,8,0.2
111,Almond Milk,1,39,1,3
112,Soy Milk,6,105,7,4
113,Coconut Water,6,45,1.7,0.5
114,Lemonade,25,99,0.1,0.1
115,Coca-Cola,39,140,0,0
116,Pepsi,41,150,0,0
117,Red Bull,28,110,1,0
118,Monster Energy Drink,54,210,2,0
119,Gatorade,21,80,0,0
120,Powerade,21,80,0,0
121,Iced Latte,14,90,3,5
122,Iced Tea,36,140,0,0
